"Subject","Cond","Skew","Trial","Psize","Nsize","Est"
168,4,"Neg",1,80,120,90
168,4,"Neg",2,50,70,70
168,4,"Neg",3,100,140,125
168,4,"Neg",4,70,110,99
168,4,"Neg",5,160,160,154
168,4,"Neg",6,90,130,115
168,4,"Neg",7,60,100,89
168,4,"Neg",8,130,150,139
168,4,"Neg",9,40,40,41
168,4,"Neg",10,90,130,113
168,4,"Neg",11,80,120,118
168,4,"Neg",12,160,160,145
168,4,"Neg",13,60,100,100
168,4,"Neg",14,40,40,41
168,4,"Neg",15,100,140,108
168,4,"Neg",16,50,70,53
168,4,"Neg",17,70,110,94
168,4,"Neg",18,130,150,105
168,4,"Neg",19,70,110,108
168,4,"Neg",20,80,120,113
168,4,"Neg",21,130,150,114
168,4,"Neg",22,90,130,117
168,4,"Neg",23,100,140,135
168,4,"Neg",24,50,70,59
168,4,"Neg",25,160,160,121
168,4,"Neg",26,60,100,99
168,4,"Neg",27,40,40,36
169,5,"Pos",1,90,130,101
169,5,"Pos",2,50,70,58
169,5,"Pos",3,60,100,53
169,5,"Pos",4,40,40,47
169,5,"Pos",5,70,110,82
169,5,"Pos",6,160,160,143
169,5,"Pos",7,130,150,156
169,5,"Pos",8,100,140,100
169,5,"Pos",9,80,120,73
169,5,"Pos",10,130,150,111
169,5,"Pos",11,80,120,66
169,5,"Pos",12,100,140,75
169,5,"Pos",13,50,70,62
169,5,"Pos",14,160,160,180
169,5,"Pos",15,90,130,72
169,5,"Pos",16,70,110,73
169,5,"Pos",17,40,40,42
169,5,"Pos",18,60,100,48
169,5,"Pos",19,70,110,77
169,5,"Pos",20,50,70,50
169,5,"Pos",21,80,120,48
169,5,"Pos",22,90,130,67
169,5,"Pos",23,60,100,56
169,5,"Pos",24,130,150,86
169,5,"Pos",25,160,160,173
169,5,"Pos",26,40,40,35
169,5,"Pos",27,100,140,78
170,6,"Pos",1,90,130,73
170,6,"Pos",2,160,160,138
170,6,"Pos",3,70,110,82
170,6,"Pos",4,100,140,92
170,6,"Pos",5,80,120,92
170,6,"Pos",6,130,150,107
170,6,"Pos",7,60,100,92
170,6,"Pos",8,40,40,62
170,6,"Pos",9,50,70,62
170,6,"Pos",10,70,110,53
170,6,"Pos",11,90,130,78
170,6,"Pos",12,50,70,73
170,6,"Pos",13,160,160,123
170,6,"Pos",14,100,140,110
170,6,"Pos",15,130,150,114
170,6,"Pos",16,80,120,93
170,6,"Pos",17,40,40,65
170,6,"Pos",18,60,100,65
170,6,"Pos",19,80,120,60
170,6,"Pos",20,60,100,81
170,6,"Pos",21,40,40,51
170,6,"Pos",22,50,70,54
170,6,"Pos",23,100,140,97
170,6,"Pos",24,90,130,84
170,6,"Pos",25,130,150,113
170,6,"Pos",26,70,110,79
170,6,"Pos",27,160,160,161
171,7,"Neg",1,50,70,180
171,7,"Neg",2,130,150,141
171,7,"Neg",3,60,100,111
171,7,"Neg",4,100,140,127
171,7,"Neg",5,70,110,104
171,7,"Neg",6,90,130,126
171,7,"Neg",7,80,120,117
171,7,"Neg",8,160,160,152
171,7,"Neg",9,40,40,38
171,7,"Neg",10,40,40,39
171,7,"Neg",11,130,150,162
171,7,"Neg",12,70,110,93
171,7,"Neg",13,100,140,132
171,7,"Neg",14,50,70,75
171,7,"Neg",15,160,160,162
171,7,"Neg",16,80,120,114
171,7,"Neg",17,60,100,107
171,7,"Neg",18,90,130,122
171,7,"Neg",19,100,140,133
171,7,"Neg",20,80,120,126
171,7,"Neg",21,70,110,110
171,7,"Neg",22,160,160,134
171,7,"Neg",23,60,100,101
171,7,"Neg",24,130,150,133
171,7,"Neg",25,90,130,136
171,7,"Neg",26,50,70,84
171,7,"Neg",27,40,40,35
172,8,"Neg",1,40,40,40
172,8,"Neg",2,160,160,133
172,8,"Neg",3,60,100,77
172,8,"Neg",4,80,120,108
172,8,"Neg",5,90,130,125
172,8,"Neg",6,130,150,143
172,8,"Neg",7,70,110,115
172,8,"Neg",8,100,140,130
172,8,"Neg",9,50,70,68
172,8,"Neg",10,70,110,90
172,8,"Neg",11,50,70,69
172,8,"Neg",12,160,160,150
172,8,"Neg",13,80,120,120
172,8,"Neg",14,90,130,126
172,8,"Neg",15,60,100,99
172,8,"Neg",16,100,140,122
