"Subject","Cond","Skew","Trial","Psize","Nsize","Est"
172,8,"Neg",17,40,40,34
172,8,"Neg",18,130,150,140
172,8,"Neg",19,40,40,37
172,8,"Neg",20,70,110,76
172,8,"Neg",21,50,70,80
172,8,"Neg",22,130,150,136
172,8,"Neg",23,100,140,131
172,8,"Neg",24,60,100,110
172,8,"Neg",25,90,130,131
172,8,"Neg",26,160,160,139
172,8,"Neg",27,80,120,126
173,1,"Pos",1,80,120,79
173,1,"Pos",2,50,70,57
173,1,"Pos",3,130,150,108
173,1,"Pos",4,70,110,63
173,1,"Pos",5,100,140,96
173,1,"Pos",6,40,40,44
173,1,"Pos",7,90,130,83
173,1,"Pos",8,160,160,163
173,1,"Pos",9,60,100,60
173,1,"Pos",10,40,40,40
173,1,"Pos",11,130,150,113
173,1,"Pos",12,50,70,61
173,1,"Pos",13,90,130,79
173,1,"Pos",14,60,100,61
173,1,"Pos",15,80,120,77
173,1,"Pos",16,100,140,92
173,1,"Pos",17,160,160,161
173,1,"Pos",18,70,110,57
173,1,"Pos",19,130,150,133
173,1,"Pos",20,40,40,42
173,1,"Pos",21,100,140,89
173,1,"Pos",22,160,160,153
173,1,"Pos",23,50,70,52
173,1,"Pos",24,80,120,75
173,1,"Pos",25,70,110,65
173,1,"Pos",26,60,100,65
173,1,"Pos",27,90,130,89
174,2,"Pos",1,130,150,110
174,2,"Pos",2,60,100,55
174,2,"Pos",3,40,40,34
174,2,"Pos",4,70,110,63
174,2,"Pos",5,100,140,91
174,2,"Pos",6,90,130,98
174,2,"Pos",7,50,70,57
174,2,"Pos",8,80,120,66
174,2,"Pos",9,160,160,142
174,2,"Pos",10,50,70,46
174,2,"Pos",11,160,160,144
174,2,"Pos",12,90,130,98
174,2,"Pos",13,80,120,97
174,2,"Pos",14,130,150,108
174,2,"Pos",15,40,40,49
174,2,"Pos",16,70,110,81
174,2,"Pos",17,60,100,61
174,2,"Pos",18,100,140,91
174,2,"Pos",19,80,120,86
174,2,"Pos",20,160,160,171
174,2,"Pos",21,40,40,40
174,2,"Pos",22,90,130,90
174,2,"Pos",23,60,100,67
174,2,"Pos",24,130,150,83
174,2,"Pos",25,100,140,92
174,2,"Pos",26,70,110,83
174,2,"Pos",27,50,70,58
175,3,"Neg",1,70,110,82
175,3,"Neg",2,50,70,73
175,3,"Neg",3,100,140,105
175,3,"Neg",4,60,100,85
175,3,"Neg",5,130,150,99
175,3,"Neg",6,90,130,99
175,3,"Neg",7,40,40,44
175,3,"Neg",8,160,160,110
175,3,"Neg",9,80,120,85
175,3,"Neg",10,60,100,83
175,3,"Neg",11,160,160,115
175,3,"Neg",12,70,110,87
175,3,"Neg",13,80,120,90
175,3,"Neg",14,40,40,49
175,3,"Neg",15,130,150,94
175,3,"Neg",16,50,70,66
175,3,"Neg",17,100,140,95
175,3,"Neg",18,90,130,113
175,3,"Neg",19,100,140,108
175,3,"Neg",20,50,70,65
175,3,"Neg",21,70,110,86
175,3,"Neg",22,60,100,88
175,3,"Neg",23,130,150,97
175,3,"Neg",24,90,130,103
175,3,"Neg",25,80,120,85
175,3,"Neg",26,160,160,107
175,3,"Neg",27,40,40,50
176,4,"Neg",1,160,160,167
176,4,"Neg",2,100,140,177
176,4,"Neg",3,130,150,173
176,4,"Neg",4,50,70,74
176,4,"Neg",5,90,130,122
176,4,"Neg",6,70,110,106
176,4,"Neg",7,40,40,43
176,4,"Neg",8,80,120,133
176,4,"Neg",9,60,100,93
176,4,"Neg",10,50,70,70
176,4,"Neg",11,100,140,135
176,4,"Neg",12,70,110,104
176,4,"Neg",13,160,160,165
176,4,"Neg",14,60,100,119
176,4,"Neg",15,90,130,144
176,4,"Neg",16,80,120,115
176,4,"Neg",17,40,40,45
176,4,"Neg",18,130,150,172
176,4,"Neg",19,70,110,112
176,4,"Neg",20,160,160,178
176,4,"Neg",21,100,140,152
176,4,"Neg",22,40,40,47
176,4,"Neg",23,50,70,58
176,4,"Neg",24,80,120,109
176,4,"Neg",25,90,130,125
176,4,"Neg",26,60,100,129
176,4,"Neg",27,130,150,153
177,5,"Pos",1,90,130,93
177,5,"Pos",2,50,70,51
177,5,"Pos",3,40,40,40
177,5,"Pos",4,100,140,87
177,5,"Pos",5,80,120,77
177,5,"Pos",6,70,110,68
177,5,"Pos",7,130,150,123
177,5,"Pos",8,160,160,144
177,5,"Pos",9,60,100,69
177,5,"Pos",10,160,160,147
177,5,"Pos",11,40,40,38
177,5,"Pos",12,80,120,72
177,5,"Pos",13,100,140,96
177,5,"Pos",14,70,110,75
177,5,"Pos",15,50,70,53
177,5,"Pos",16,90,130,63
177,5,"Pos",17,130,150,112
177,5,"Pos",18,60,100,64
177,5,"Pos",19,100,140,96
177,5,"Pos",20,90,130,86
177,5,"Pos",21,50,70,57
177,5,"Pos",22,70,110,61
177,5,"Pos",23,60,100,60
177,5,"Pos",24,130,150,114
177,5,"Pos",25,80,120,73
177,5,"Pos",26,160,160,165
177,5,"Pos",27,40,40,42
178,6,"Pos",1,130,150,120
178,6,"Pos",2,40,40,48
178,6,"Pos",3,50,70,48
178,6,"Pos",4,70,110,69
178,6,"Pos",5,100,140,95
178,6,"Pos",6,80,120,77
178,6,"Pos",7,60,100,69
178,6,"Pos",8,160,160,180
178,6,"Pos",9,90,130,88
178,6,"Pos",10,60,100,62
178,6,"Pos",11,90,130,94
178,6,"Pos",12,70,110,76
178,6,"Pos",13,100,140,103
178,6,"Pos",14,40,40,46
178,6,"Pos",15,160,160,150
178,6,"Pos",16,130,150,117
178,6,"Pos",17,80,120,81
178,6,"Pos",18,50,70,59
178,6,"Pos",19,60,100,67
178,6,"Pos",20,80,120,86
178,6,"Pos",21,40,40,54
178,6,"Pos",22,100,140,95
178,6,"Pos",23,160,160,154
178,6,"Pos",24,50,70,72
178,6,"Pos",25,130,150,112
178,6,"Pos",26,90,130,112
178,6,"Pos",27,70,110,78
179,7,"Neg",1,100,140,112
179,7,"Neg",2,90,130,120
179,7,"Neg",3,80,120,107
179,7,"Neg",4,160,160,139
179,7,"Neg",5,50,70,81
179,7,"Neg",6,40,40,53
179,7,"Neg",7,60,100,81
179,7,"Neg",8,130,150,141
179,7,"Neg",9,70,110,116
179,7,"Neg",10,60,100,107
179,7,"Neg",11,80,120,108
179,7,"Neg",12,40,40,45
179,7,"Neg",13,50,70,66
179,7,"Neg",14,130,150,148
179,7,"Neg",15,100,140,124
179,7,"Neg",16,70,110,104
179,7,"Neg",17,160,160,159
179,7,"Neg",18,90,130,128
179,7,"Neg",19,130,150,128
179,7,"Neg",20,90,130,131
179,7,"Neg",21,50,70,90
179,7,"Neg",22,80,120,109
179,7,"Neg",23,40,40,46
179,7,"Neg",24,100,140,124
179,7,"Neg",25,160,160,150
179,7,"Neg",26,60,100,105
179,7,"Neg",27,70,110,121
180,8,"Neg",1,100,140,140
180,8,"Neg",2,40,40,47
180,8,"Neg",3,90,130,117
180,8,"Neg",4,80,120,116
180,8,"Neg",5,70,110,120
180,8,"Neg",6,160,160,167
180,8,"Neg",7,50,70,86
180,8,"Neg",8,60,100,99
180,8,"Neg",9,130,150,137
180,8,"Neg",10,70,110,115
180,8,"Neg",11,90,130,112
180,8,"Neg",12,80,120,115
180,8,"Neg",13,160,160,149
180,8,"Neg",14,100,140,139
180,8,"Neg",15,130,150,130
180,8,"Neg",16,50,70,87
180,8,"Neg",17,40,40,74
180,8,"Neg",18,60,100,106
180,8,"Neg",19,40,40,73
180,8,"Neg",20,80,120,111
180,8,"Neg",21,90,130,122
180,8,"Neg",22,50,70,82
180,8,"Neg",23,130,150,133
180,8,"Neg",24,100,140,163
180,8,"Neg",25,70,110,106
180,8,"Neg",26,160,160,163
180,8,"Neg",27,60,100,122
181,1,"Pos",1,160,160,123
181,1,"Pos",2,80,120,72
181,1,"Pos",3,60,100,51
181,1,"Pos",4,40,40,46
181,1,"Pos",5,100,140,84
181,1,"Pos",6,70,110,67
181,1,"Pos",7,90,130,71
181,1,"Pos",8,130,150,138
181,1,"Pos",9,50,70,55
181,1,"Pos",10,130,150,103
181,1,"Pos",11,50,70,59
181,1,"Pos",12,90,130,78
181,1,"Pos",13,40,40,43
181,1,"Pos",14,160,160,150
181,1,"Pos",15,60,100,59
181,1,"Pos",16,100,140,83
181,1,"Pos",17,70,110,75
181,1,"Pos",18,80,120,75
181,1,"Pos",19,60,100,54
181,1,"Pos",20,130,150,112
181,1,"Pos",21,160,160,138
181,1,"Pos",22,90,130,91
181,1,"Pos",23,100,140,98
181,1,"Pos",24,70,110,69
181,1,"Pos",25,40,40,44
181,1,"Pos",26,80,120,70
181,1,"Pos",27,50,70,54
182,2,"Pos",1,50,70,47
182,2,"Pos",2,90,130,71
182,2,"Pos",3,100,140,89
182,2,"Pos",4,70,110,65
182,2,"Pos",5,130,150,117
182,2,"Pos",6,160,160,156
182,2,"Pos",7,60,100,69
182,2,"Pos",8,40,40,47
182,2,"Pos",9,80,120,71
182,2,"Pos",10,40,40,41
182,2,"Pos",11,70,110,76
182,2,"Pos",12,90,130,86
182,2,"Pos",13,130,150,118
182,2,"Pos",14,160,160,152
182,2,"Pos",15,60,100,61
182,2,"Pos",16,80,120,74
182,2,"Pos",17,100,140,94
182,2,"Pos",18,50,70,50
182,2,"Pos",19,70,110,72
182,2,"Pos",20,90,130,87
182,2,"Pos",21,100,140,98
182,2,"Pos",22,160,160,142
182,2,"Pos",23,80,120,67
182,2,"Pos",24,50,70,46
182,2,"Pos",25,130,150,131
182,2,"Pos",26,60,100,79
182,2,"Pos",27,40,40,48
183,3,"Neg",1,130,150,97
183,3,"Neg",2,100,140,122
183,3,"Neg",3,80,120,111
183,3,"Neg",4,60,100,84
183,3,"Neg",5,40,40,48
183,3,"Neg",6,90,130,102
183,3,"Neg",7,50,70,82
183,3,"Neg",8,70,110,85
183,3,"Neg",9,160,160,131
183,3,"Neg",10,90,130,119
183,3,"Neg",11,160,160,149
183,3,"Neg",12,50,70,62
183,3,"Neg",13,130,150,124
183,3,"Neg",14,40,40,51
183,3,"Neg",15,70,110,82
183,3,"Neg",16,100,140,112
183,3,"Neg",17,80,120,110
183,3,"Neg",18,60,100,96
183,3,"Neg",19,70,110,82
183,3,"Neg",20,50,70,57
183,3,"Neg",21,40,40,38
183,3,"Neg",22,100,140,101
183,3,"Neg",23,60,100,70
183,3,"Neg",24,160,160,109
183,3,"Neg",25,90,130,122
183,3,"Neg",26,130,150,134
183,3,"Neg",27,80,120,123
184,4,"Neg",1,130,150,103
184,4,"Neg",2,80,120,93
184,4,"Neg",3,90,130,123
184,4,"Neg",4,60,100,76
184,4,"Neg",5,50,70,55
184,4,"Neg",6,160,160,124
184,4,"Neg",7,100,140,119
184,4,"Neg",8,40,40,51
184,4,"Neg",9,70,110,76
184,4,"Neg",10,90,130,104
184,4,"Neg",11,80,120,102
184,4,"Neg",12,50,70,69
184,4,"Neg",13,100,140,114
184,4,"Neg",14,60,100,84
184,4,"Neg",15,70,110,96
184,4,"Neg",16,40,40,52
184,4,"Neg",17,130,150,147
184,4,"Neg",18,160,160,163
184,4,"Neg",19,90,130,104
184,4,"Neg",20,50,70,82
184,4,"Neg",21,40,40,45
184,4,"Neg",22,60,100,77
184,4,"Neg",23,80,120,114
184,4,"Neg",24,70,110,96
184,4,"Neg",25,100,140,144
184,4,"Neg",26,130,150,122
184,4,"Neg",27,160,160,168
185,5,"Pos",1,130,150,130
185,5,"Pos",2,70,110,76
185,5,"Pos",3,160,160,160
185,5,"Pos",4,40,40,56
185,5,"Pos",5,100,140,82
185,5,"Pos",6,60,100,59
185,5,"Pos",7,50,70,53
185,5,"Pos",8,90,130,76
185,5,"Pos",9,80,120,65
185,5,"Pos",10,50,70,58
185,5,"Pos",11,90,130,70
185,5,"Pos",12,40,40,50
185,5,"Pos",13,100,140,55
185,5,"Pos",14,130,150,68
185,5,"Pos",15,80,120,65
185,5,"Pos",16,70,110,70
185,5,"Pos",17,160,160,117
185,5,"Pos",18,60,100,67
185,5,"Pos",19,90,130,78
185,5,"Pos",20,70,110,67
185,5,"Pos",21,130,150,85
185,5,"Pos",22,160,160,137
185,5,"Pos",23,50,70,58
185,5,"Pos",24,40,40,35
185,5,"Pos",25,100,140,74
185,5,"Pos",26,60,100,54
185,5,"Pos",27,80,120,63
186,6,"Pos",1,60,100,62
186,6,"Pos",2,160,160,174
186,6,"Pos",3,80,120,86
186,6,"Pos",4,50,70,65
186,6,"Pos",5,130,150,111
186,6,"Pos",6,70,110,75
186,6,"Pos",7,90,130,101
186,6,"Pos",8,100,140,110
186,6,"Pos",9,40,40,72
186,6,"Pos",10,90,130,96
186,6,"Pos",11,130,150,139
186,6,"Pos",12,100,140,113
186,6,"Pos",13,60,100,92
186,6,"Pos",14,50,70,75
186,6,"Pos",15,80,120,86
186,6,"Pos",16,40,40,61
186,6,"Pos",17,70,110,103
186,6,"Pos",18,160,160,162
186,6,"Pos",19,160,160,169
186,6,"Pos",20,40,40,61
186,6,"Pos",21,100,140,104
186,6,"Pos",22,90,130,112
186,6,"Pos",23,80,120,104
186,6,"Pos",24,130,150,138
186,6,"Pos",25,70,110,81
186,6,"Pos",26,50,70,76
186,6,"Pos",27,60,100,88
187,7,"Neg",1,100,140,135
187,7,"Neg",2,70,110,99
187,7,"Neg",3,80,120,108
187,7,"Neg",4,130,150,138
187,7,"Neg",5,160,160,150
187,7,"Neg",6,90,130,123
187,7,"Neg",7,40,40,46
187,7,"Neg",8,60,100,69
187,7,"Neg",9,50,70,65
187,7,"Neg",10,50,70,76
187,7,"Neg",11,160,160,135
187,7,"Neg",12,70,110,88
187,7,"Neg",13,40,40,43
187,7,"Neg",14,80,120,85
187,7,"Neg",15,100,140,98
187,7,"Neg",16,130,150,124
187,7,"Neg",17,90,130,130
187,7,"Neg",18,60,100,90
187,7,"Neg",19,90,130,100
187,7,"Neg",20,50,70,71
187,7,"Neg",21,70,110,95
187,7,"Neg",22,40,40,40
187,7,"Neg",23,160,160,152
187,7,"Neg",24,80,120,118
187,7,"Neg",25,130,150,131
187,7,"Neg",26,100,140,130
187,7,"Neg",27,60,100,94
188,8,"Neg",1,90,130,111
188,8,"Neg",2,60,100,90
188,8,"Neg",3,70,110,108
188,8,"Neg",4,80,120,124
188,8,"Neg",5,100,140,123
188,8,"Neg",6,40,40,35
188,8,"Neg",7,160,160,142
188,8,"Neg",8,50,70,59
188,8,"Neg",9,130,150,128
188,8,"Neg",10,100,140,113
188,8,"Neg",11,160,160,139
188,8,"Neg",12,80,120,106
188,8,"Neg",13,40,40,31
188,8,"Neg",14,60,100,87
188,8,"Neg",15,50,70,54
188,8,"Neg",16,90,130,96
188,8,"Neg",17,70,110,108
188,8,"Neg",18,130,150,128
188,8,"Neg",19,40,40,61
188,8,"Neg",20,60,100,97
188,8,"Neg",21,160,160,148
188,8,"Neg",22,130,150,145
188,8,"Neg",23,80,120,109
188,8,"Neg",24,100,140,125
188,8,"Neg",25,50,70,78
188,8,"Neg",26,90,130,118
188,8,"Neg",27,70,110,113
189,1,"Pos",1,50,70,45
189,1,"Pos",2,80,120,65
189,1,"Pos",3,90,130,70
189,1,"Pos",4,60,100,65
189,1,"Pos",5,70,110,62
189,1,"Pos",6,100,140,81
189,1,"Pos",7,130,150,108
189,1,"Pos",8,40,40,38
189,1,"Pos",9,160,160,110
189,1,"Pos",10,90,130,81
189,1,"Pos",11,160,160,124
189,1,"Pos",12,80,120,67
189,1,"Pos",13,130,150,115
189,1,"Pos",14,70,110,67
189,1,"Pos",15,50,70,54
189,1,"Pos",16,60,100,60
189,1,"Pos",17,100,140,97
189,1,"Pos",18,40,40,41
189,1,"Pos",19,160,160,133
189,1,"Pos",20,100,140,85
189,1,"Pos",21,70,110,61
189,1,"Pos",22,80,120,70
189,1,"Pos",23,50,70,49
189,1,"Pos",24,40,40,43
189,1,"Pos",25,90,130,87
189,1,"Pos",26,60,100,59
189,1,"Pos",27,130,150,138
190,2,"Pos",1,60,100,37
190,2,"Pos",2,40,40,35
190,2,"Pos",3,90,130,81
190,2,"Pos",4,100,140,94
190,2,"Pos",5,70,110,77
190,2,"Pos",6,80,120,77
190,2,"Pos",7,160,160,144
190,2,"Pos",8,130,150,121
190,2,"Pos",9,50,70,43
190,2,"Pos",10,100,140,101
190,2,"Pos",11,50,70,59
190,2,"Pos",12,40,40,43
190,2,"Pos",13,90,130,73
190,2,"Pos",14,160,160,137
190,2,"Pos",15,70,110,67
190,2,"Pos",16,130,150,111
190,2,"Pos",17,60,100,64
190,2,"Pos",18,80,120,93
190,2,"Pos",19,40,40,47
190,2,"Pos",20,90,130,83
190,2,"Pos",21,60,100,51
190,2,"Pos",22,80,120,79
190,2,"Pos",23,100,140,86
190,2,"Pos",24,130,150,119
190,2,"Pos",25,50,70,43
190,2,"Pos",26,160,160,153
190,2,"Pos",27,70,110,71
191,3,"Neg",1,100,140,100
191,3,"Neg",2,60,100,105
191,3,"Neg",3,70,110,113
191,3,"Neg",4,130,150,142
191,3,"Neg",5,40,40,47
191,3,"Neg",6,90,130,104
191,3,"Neg",7,160,160,129
191,3,"Neg",8,50,70,75
191,3,"Neg",9,80,120,106
191,3,"Neg",10,100,140,106
191,3,"Neg",11,70,110,104
191,3,"Neg",12,60,100,103
191,3,"Neg",13,90,130,120
191,3,"Neg",14,130,150,147
191,3,"Neg",15,50,70,54
191,3,"Neg",16,160,160,149
191,3,"Neg",17,40,40,39
191,3,"Neg",18,80,120,75
191,3,"Neg",19,70,110,103
191,3,"Neg",20,40,40,37
191,3,"Neg",21,60,100,75
191,3,"Neg",22,50,70,57
191,3,"Neg",23,80,120,105
191,3,"Neg",24,100,140,129
191,3,"Neg",25,90,130,143
191,3,"Neg",26,160,160,146
191,3,"Neg",27,130,150,148
192,4,"Neg",1,50,70,72
192,4,"Neg",2,90,130,96
192,4,"Neg",3,60,100,81
192,4,"Neg",4,130,150,110
192,4,"Neg",5,100,140,114
192,4,"Neg",6,40,40,45
192,4,"Neg",7,160,160,141
192,4,"Neg",8,70,110,95
192,4,"Neg",9,80,120,101
192,4,"Neg",10,100,140,121
192,4,"Neg",11,90,130,113
192,4,"Neg",12,130,150,116
192,4,"Neg",13,60,100,84
192,4,"Neg",14,50,70,70
192,4,"Neg",15,80,120,90
192,4,"Neg",16,40,40,44
192,4,"Neg",17,160,160,154
192,4,"Neg",18,70,110,106
192,4,"Neg",19,100,140,120
192,4,"Neg",20,40,40,47
192,4,"Neg",21,60,100,69
192,4,"Neg",22,70,110,86
192,4,"Neg",23,160,160,150
192,4,"Neg",24,130,150,150
192,4,"Neg",25,50,70,92
192,4,"Neg",26,80,120,92
192,4,"Neg",27,90,130,113
194,6,"Pos",1,70,110,91
194,6,"Pos",2,100,140,103
194,6,"Pos",3,160,160,159
194,6,"Pos",4,50,70,50
194,6,"Pos",5,90,130,94
194,6,"Pos",6,60,100,54
194,6,"Pos",7,80,120,72
194,6,"Pos",8,40,40,62
194,6,"Pos",9,130,150,113
194,6,"Pos",10,50,70,60
194,6,"Pos",11,100,140,92
194,6,"Pos",12,90,130,102
194,6,"Pos",13,80,120,72
194,6,"Pos",14,160,160,153
194,6,"Pos",15,60,100,87
194,6,"Pos",16,40,40,55
194,6,"Pos",17,130,150,104
194,6,"Pos",18,70,110,76
194,6,"Pos",19,40,40,89
194,6,"Pos",20,60,100,71
194,6,"Pos",21,160,160,146
194,6,"Pos",22,130,150,131
194,6,"Pos",23,80,120,99
194,6,"Pos",24,100,140,100
194,6,"Pos",25,50,70,73
194,6,"Pos",26,90,130,70
194,6,"Pos",27,70,110,58
195,7,"Neg",1,160,160,180
195,7,"Neg",2,90,130,149
195,7,"Neg",3,100,140,142
195,7,"Neg",4,40,40,58
195,7,"Neg",5,130,150,112
195,7,"Neg",6,50,70,65
195,7,"Neg",7,60,100,80
195,7,"Neg",8,70,110,83
195,7,"Neg",9,80,120,84
195,7,"Neg",10,40,40,50
195,7,"Neg",11,160,160,130
195,7,"Neg",12,100,140,131
195,7,"Neg",13,60,100,93
195,7,"Neg",14,90,130,103
195,7,"Neg",15,80,120,118
195,7,"Neg",16,70,110,130
195,7,"Neg",17,130,150,153
195,7,"Neg",18,50,70,100
195,7,"Neg",19,130,150,133
195,7,"Neg",20,90,130,108
195,7,"Neg",21,160,160,113
195,7,"Neg",22,70,110,94
195,7,"Neg",23,40,40,49
195,7,"Neg",24,50,70,70
195,7,"Neg",25,100,140,124
195,7,"Neg",26,80,120,98
195,7,"Neg",27,60,100,104
196,8,"Neg",1,80,120,127
196,8,"Neg",2,40,40,49
196,8,"Neg",3,130,150,145
196,8,"Neg",4,100,140,127
196,8,"Neg",5,160,160,143
196,8,"Neg",6,70,110,112
196,8,"Neg",7,60,100,98
196,8,"Neg",8,50,70,82
196,8,"Neg",9,90,130,121
196,8,"Neg",10,130,150,136
196,8,"Neg",11,50,70,114
196,8,"Neg",12,70,110,95
196,8,"Neg",13,100,140,130
196,8,"Neg",14,60,100,180
196,8,"Neg",15,160,160,135
196,8,"Neg",16,90,130,123
196,8,"Neg",17,80,120,139
196,8,"Neg",18,40,40,41
196,8,"Neg",19,160,160,136
196,8,"Neg",20,50,70,94
196,8,"Neg",21,130,150,139
196,8,"Neg",22,40,40,66
196,8,"Neg",23,80,120,101
196,8,"Neg",24,70,110,95
196,8,"Neg",25,60,100,106
196,8,"Neg",26,100,140,121
196,8,"Neg",27,90,130,135
197,1,"Pos",1,160,160,116
197,1,"Pos",2,50,70,55
197,1,"Pos",3,60,100,54
197,1,"Pos",4,40,40,42
197,1,"Pos",5,100,140,90
197,1,"Pos",6,80,120,64
197,1,"Pos",7,90,130,85
197,1,"Pos",8,70,110,70
197,1,"Pos",9,130,150,123
197,1,"Pos",10,130,150,124
197,1,"Pos",11,50,70,51
197,1,"Pos",12,60,100,60
197,1,"Pos",13,90,130,82
197,1,"Pos",14,70,110,57
197,1,"Pos",15,100,140,86
197,1,"Pos",16,80,120,94
197,1,"Pos",17,40,40,47
197,1,"Pos",18,160,160,125
197,1,"Pos",19,40,40,61
197,1,"Pos",20,130,150,116
197,1,"Pos",21,80,120,78
197,1,"Pos",22,160,160,135
197,1,"Pos",23,100,140,83
197,1,"Pos",24,90,130,92
197,1,"Pos",25,50,70,56
197,1,"Pos",26,60,100,61
197,1,"Pos",27,70,110,73
198,2,"Pos",1,60,100,51
198,2,"Pos",2,130,150,99
198,2,"Pos",3,50,70,53
198,2,"Pos",4,100,140,96
198,2,"Pos",5,40,40,38
198,2,"Pos",6,90,130,81
198,2,"Pos",7,80,120,71
198,2,"Pos",8,70,110,84
198,2,"Pos",9,160,160,136
198,2,"Pos",10,50,70,71
198,2,"Pos",11,60,100,58
198,2,"Pos",12,90,130,75
198,2,"Pos",13,100,140,98
198,2,"Pos",14,40,40,42
198,2,"Pos",15,80,120,67
198,2,"Pos",16,130,150,115
198,2,"Pos",17,160,160,122
198,2,"Pos",18,70,110,80
198,2,"Pos",19,40,40,44
198,2,"Pos",20,130,150,118
198,2,"Pos",21,70,110,75
198,2,"Pos",22,100,140,91
198,2,"Pos",23,60,100,47
198,2,"Pos",24,50,70,62
198,2,"Pos",25,90,130,81
198,2,"Pos",26,80,120,80
198,2,"Pos",27,160,160,111
199,3,"Neg",1,60,100,84
199,3,"Neg",2,130,150,121
199,3,"Neg",3,160,160,159
199,3,"Neg",4,50,70,58
199,3,"Neg",5,70,110,89
199,3,"Neg",6,80,120,119
199,3,"Neg",7,100,140,130
199,3,"Neg",8,40,40,49
199,3,"Neg",9,90,130,125
