"subject","Aorder$","taskord$","Skew$","Trial","Size","Start","Running","Back1","Est","Rating"
102,"LS","ER","N",1,140,2,140,140,137,7
102,"LS","ER","N",2,140,2,140,140,136,7
102,"LS","ER","N",3,120,2,133.333333333333,140,124,5
102,"LS","ER","N",4,120,2,130,120,118,5
102,"LS","ER","N",5,40,2,112,120,51,4
102,"LS","ER","N",6,120,2,113.333333333333,40,126,5
102,"LS","ER","N",7,20,2,100,120,26,2
102,"LS","ER","N",8,60,2,95,20,61,4
102,"LS","ER","N",9,100,2,95.5555555555556,60,77,5
102,"LS","ER","N",10,80,2,94,100,74,5
102,"LS","ER","N",11,100,2,94.5454545454545,80,86,5
102,"LS","ER","N",12,100,1,95,100,64,5
102,"LS","ER","N",13,100,1,95.3846153846154,100,99,5
102,"LS","ER","N",14,140,1,98.5714285714286,100,145,9
102,"LS","ER","N",15,120,1,100,140,118,7
102,"LS","ER","N",16,120,1,101.25,120,127,6
102,"LS","ER","N",17,120,1,102.352941176471,120,130,6
102,"LS","ER","N",18,20,1,97.7777777777778,120,20,1
102,"LS","ER","N",19,80,1,96.8421052631579,20,49,4
102,"LS","ER","N",20,140,1,99,80,125,7
102,"LS","ER","N",21,60,1,97.1428571428571,140,64,3
102,"LS","ER","N",22,40,1,94.5454545454545,60,42,2
102,"LS","ER","N",23,140,2,96.5217391304348,40,148,8
102,"LS","ER","N",24,100,2,96.6666666666667,140,106,5
102,"LS","ER","N",25,120,2,97.6,100,105,7
102,"LS","ER","N",26,120,2,98.4615384615385,120,106,7
102,"LS","ER","N",27,100,2,98.5185185185185,120,97,6
102,"LS","ER","N",28,120,2,99.2857142857143,100,110,7
102,"LS","ER","N",29,80,2,98.6206896551724,120,86,4
102,"LS","ER","N",30,140,2,100,80,132,8
102,"LS","ER","N",31,60,2,97.3333333333333,140,72,3
102,"LS","ER","N",32,40,2,95.4838709677419,60,41,2
102,"LS","ER","N",33,20,2,94.5454545454545,40,32,1
102,"LS","ER","N",34,120,1,95.2941176470588,20,118,7
102,"LS","ER","N",35,140,1,96.5714285714286,120,126,8
102,"LS","ER","N",36,140,1,97.7777777777778,140,150,8
102,"LS","ER","N",37,120,1,98.3783783783784,140,106,7
102,"LS","ER","N",38,60,1,97.3684210526316,120,73,3
102,"LS","ER","N",39,40,1,95.8974358974359,60,58,2
102,"LS","ER","N",40,120,1,96.5,40,101,5
102,"LS","ER","N",41,100,1,96.5853658536585,120,120,5
102,"LS","ER","N",42,80,1,96.1904761904762,100,93,5
102,"LS","ER","N",43,100,1,96.2790697674419,80,88,6
102,"LS","ER","N",44,20,1,94.5454545454545,100,30,1
102,"LS","ER","N",45,140,2,95.5555555555556,20,150,8
102,"LS","ER","N",46,100,2,95.6521739130435,140,114,6
102,"LS","ER","N",47,100,2,95.7446808510638,100,99,6
102,"LS","ER","N",48,120,2,96.25,100,110,7
102,"LS","ER","N",49,80,2,95.9183673469388,120,82,5
102,"LS","ER","N",50,20,2,94.4,80,23,1
102,"LS","ER","N",51,120,2,94.9019607843137,20,109,7
102,"LS","ER","N",52,140,2,95.7692307692308,120,138,8
102,"LS","ER","N",53,120,2,96.2264150943396,140,125,7
102,"LS","ER","N",54,40,2,95.1851851851852,120,51,3
102,"LS","ER","N",55,60,2,94.5454545454545,40,46,4
102,"LS","ER","N",56,100,1,94.6428571428571,60,79,6
102,"LS","ER","N",57,120,1,95.0877192982456,100,103,7
102,"LS","ER","N",58,120,1,95.5172413793103,120,132,7
102,"LS","ER","N",59,40,1,94.5762711864407,120,44,3
102,"LS","ER","N",60,100,1,94.6666666666667,40,76,5
102,"LS","ER","N",61,140,1,95.4098360655738,100,121,7
102,"LS","ER","N",62,120,1,95.8064516129032,140,117,6
102,"LS","ER","N",63,20,1,94.6031746031746,120,19,1
102,"LS","ER","N",64,140,1,95.3125,20,156,8
102,"LS","ER","N",65,60,1,94.7692307692308,140,57,4
102,"LS","ER","N",66,80,1,94.5454545454545,60,69,5
110,"LS","ER","N",1,120,2,120,120,160,6
110,"LS","ER","N",2,100,2,110,120,122,4
110,"LS","ER","N",3,80,2,100,100,94,4
110,"LS","ER","N",4,140,2,110,80,139,8
110,"LS","ER","N",5,120,2,112,140,119,6
110,"LS","ER","N",6,100,2,110,120,99,4
110,"LS","ER","N",7,120,2,111.428571428571,100,126,4
110,"LS","ER","N",8,60,2,105,120,75,3
110,"LS","ER","N",9,140,2,108.888888888889,60,145,8
110,"LS","ER","N",10,40,2,102,140,66,3
110,"LS","ER","N",11,20,2,94.5454545454545,40,26,2
110,"LS","ER","N",12,140,1,98.3333333333333,20,140,7
110,"LS","ER","N",13,80,1,96.9230769230769,140,92,3
110,"LS","ER","N",14,100,1,97.1428571428571,80,124,4
110,"LS","ER","N",15,20,1,92,100,27,1
110,"LS","ER","N",16,120,1,93.75,20,98,4
110,"LS","ER","N",17,120,1,95.2941176470588,120,128,5
110,"LS","ER","N",18,120,1,96.6666666666667,120,115,8
110,"LS","ER","N",19,140,1,98.9473684210526,120,150,8
110,"LS","ER","N",20,40,1,96,140,57,3
110,"LS","ER","N",21,100,1,96.1904761904762,40,107,4
110,"LS","ER","N",22,60,1,94.5454545454545,100,92,3
110,"LS","ER","N",23,100,2,94.7826086956522,60,101,5
110,"LS","ER","N",24,120,2,95.8333333333333,100,130,5
110,"LS","ER","N",25,100,2,96,120,111,4
110,"LS","ER","N",26,120,2,96.9230769230769,100,124,6
110,"LS","ER","N",27,140,2,98.5185185185185,120,130,9
110,"LS","ER","N",28,140,2,100,140,137,8
110,"LS","ER","N",29,80,2,99.3103448275862,140,101,3
110,"LS","ER","N",30,120,2,100,80,108,5
110,"LS","ER","N",31,20,2,96.6666666666667,120,25,1
110,"LS","ER","N",32,40,2,94.8387096774194,20,40,3
110,"LS","ER","N",33,60,2,94.5454545454545,40,41,4
110,"LS","ER","N",34,60,1,93.5294117647059,60,62,4
110,"LS","ER","N",35,100,1,93.7142857142857,60,79,4
110,"LS","ER","N",36,80,1,93.3333333333333,100,73,3
110,"LS","ER","N",37,20,1,91.3513513513514,80,20,2
110,"LS","ER","N",38,120,1,92.1052631578947,20,101,6
110,"LS","ER","N",39,120,1,92.8205128205128,120,126,8
110,"LS","ER","N",40,40,1,91.5,120,89,2
110,"LS","ER","N",41,140,1,92.6829268292683,40,149,9
110,"LS","ER","N",42,100,1,92.8571428571429,140,111,4
110,"LS","ER","N",43,120,1,93.4883720930233,100,143,8
110,"LS","ER","N",44,140,1,94.5454545454545,120,149,8
110,"LS","ER","N",45,40,2,93.3333333333333,140,47,2
110,"LS","ER","N",46,100,2,93.4782608695652,40,89,5
110,"LS","ER","N",47,100,2,93.6170212765958,100,95,6
110,"LS","ER","N",48,140,2,94.5833333333333,100,104,9
110,"LS","ER","N",49,120,2,95.1020408163265,140,104,8
110,"LS","ER","N",50,60,2,94.4,120,55,3
