"subject","Aorder$","taskord$","Skew$","Trial","Size","Start","Running","Back1","Est","Rating"
110,"LS","ER","N",51,140,2,95.2941176470588,60,119,9
110,"LS","ER","N",52,120,2,95.7692307692308,140,113,8
110,"LS","ER","N",53,20,2,94.3396226415094,120,31,1
110,"LS","ER","N",54,80,2,94.0740740740741,20,69,4
110,"LS","ER","N",55,120,2,94.5454545454545,80,79,9
110,"LS","ER","N",56,120,1,95,120,140,7
110,"LS","ER","N",57,80,1,94.7368421052632,120,91,4
110,"LS","ER","N",58,60,1,94.1379310344828,80,76,3
110,"LS","ER","N",59,120,1,94.5762711864407,60,110,8
110,"LS","ER","N",60,20,1,93.3333333333333,120,48,1
110,"LS","ER","N",61,140,1,94.0983606557377,20,106,9
110,"LS","ER","N",62,100,1,94.1935483870968,140,115,4
110,"LS","ER","N",63,40,1,93.3333333333333,100,62,2
110,"LS","ER","N",64,140,1,94.0625,40,145,9
110,"LS","ER","N",65,100,1,94.1538461538462,140,109,6
110,"LS","ER","N",66,120,1,94.5454545454545,100,129,8
204,"LS","ER","N",1,100,2,100,100,131,6
204,"LS","ER","N",2,140,2,120,100,156,7
204,"LS","ER","N",3,120,2,120,140,139,5
204,"LS","ER","N",4,140,2,125,120,153,7
204,"LS","ER","N",5,120,2,124,140,139,5
204,"LS","ER","N",6,80,2,116.666666666667,120,89,3
204,"LS","ER","N",7,100,2,114.285714285714,80,105,4
204,"LS","ER","N",8,20,2,102.5,100,20,2
204,"LS","ER","N",9,60,2,97.7777777777778,20,65,4
204,"LS","ER","N",10,120,2,100,60,128,6
204,"LS","ER","N",11,40,2,94.5454545454545,120,36,3
204,"LS","ER","N",12,100,1,95,40,65,5
204,"LS","ER","N",13,140,1,98.4615384615385,100,80,7
204,"LS","ER","N",14,100,1,98.5714285714286,140,88,5
204,"LS","ER","N",15,140,1,101.333333333333,100,135,7
204,"LS","ER","N",16,60,1,98.75,140,64,3
204,"LS","ER","N",17,80,1,97.6470588235294,60,72,4
204,"LS","ER","N",18,120,1,98.8888888888889,80,117,5
204,"LS","ER","N",19,40,1,95.7894736842105,120,53,3
204,"LS","ER","N",20,20,1,92,40,23,2
204,"LS","ER","N",21,120,1,93.3333333333333,20,87,8
204,"LS","ER","N",22,120,1,94.5454545454545,120,122,7
204,"LS","ER","N",23,60,2,93.0434782608696,120,75,3
204,"LS","ER","N",24,20,2,90,60,39,2
204,"LS","ER","N",25,120,2,91.2,20,94,6
204,"LS","ER","N",26,40,2,89.2307692307692,120,61,3
204,"LS","ER","N",27,120,2,90.3703703703704,40,108,6
204,"LS","ER","N",28,100,2,90.7142857142857,120,105,3
204,"LS","ER","N",29,80,2,90.3448275862069,100,92,3
204,"LS","ER","N",30,140,2,92,80,135,6
204,"LS","ER","N",31,100,2,92,140,127,4
204,"LS","ER","N",32,120,2,92.9032258064516,100,129,6
204,"LS","ER","N",33,140,2,94.5454545454545,120,150,8
204,"LS","ER","N",34,60,1,93.5294117647059,140,44,3
204,"LS","ER","N",35,100,1,93.7142857142857,60,85,5
204,"LS","ER","N",36,40,1,92.2222222222222,100,48,3
204,"LS","ER","N",37,120,1,92.972972972973,40,78,8
204,"LS","ER","N",38,120,1,93.6842105263158,120,89,7
204,"LS","ER","N",39,20,1,91.7948717948718,120,20,2
204,"LS","ER","N",40,120,1,92.5,20,105,5
204,"LS","ER","N",41,100,1,92.6829268292683,120,89,4
204,"LS","ER","N",42,140,1,93.8095238095238,100,153,7
204,"LS","ER","N",43,80,1,93.4883720930233,140,72,4
204,"LS","ER","N",44,140,1,94.5454545454545,80,133,7
204,"LS","ER","N",45,60,2,93.7777777777778,140,92,3
204,"LS","ER","N",46,80,2,93.4782608695652,60,84,4
204,"LS","ER","N",47,40,2,92.3404255319149,80,68,3
204,"LS","ER","N",48,20,2,90.8333333333333,40,37,2
204,"LS","ER","N",49,100,2,91.0204081632653,20,80,5
204,"LS","ER","N",50,120,2,91.6,100,96,6
204,"LS","ER","N",51,140,2,92.5490196078431,120,115,8
204,"LS","ER","N",52,120,2,93.0769230769231,140,119,6
204,"LS","ER","N",53,100,2,93.2075471698113,120,115,4
204,"LS","ER","N",54,120,2,93.7037037037037,100,118,5
204,"LS","ER","N",55,140,2,94.5454545454545,120,124,8
204,"LS","ER","N",56,80,1,94.2857142857143,140,31,5
204,"LS","ER","N",57,20,1,92.9824561403509,80,17,2
204,"LS","ER","N",58,40,1,92.0689655172414,20,21,3
204,"LS","ER","N",59,120,1,92.5423728813559,40,54,6
204,"LS","ER","N",60,100,1,92.6666666666667,120,60,5
204,"LS","ER","N",61,120,1,93.1147540983606,100,77,7
204,"LS","ER","N",62,140,1,93.8709677419355,120,103,9
204,"LS","ER","N",63,100,1,93.968253968254,140,68,6
204,"LS","ER","N",64,140,1,94.6875,100,104,7
204,"LS","ER","N",65,120,1,95.0769230769231,140,95,5
204,"LS","ER","N",66,60,1,94.5454545454545,120,65,3
300,"LS","ER","N",1,40,2,40,40,63,3
300,"LS","ER","N",2,100,2,70,40,117,5
300,"LS","ER","N",3,100,2,80,100,108,5
300,"LS","ER","N",4,140,2,95,100,148,8
300,"LS","ER","N",5,120,2,100,140,135,6
300,"LS","ER","N",6,80,2,96.6666666666667,120,84,3
300,"LS","ER","N",7,60,2,91.4285714285714,80,68,2
300,"LS","ER","N",8,120,2,95,60,111,6
300,"LS","ER","N",9,20,2,86.6666666666667,120,27,1
300,"LS","ER","N",10,140,2,92,20,146,7
300,"LS","ER","N",11,120,2,94.5454545454545,140,130,6
300,"LS","ER","N",12,140,1,98.3333333333333,120,114,8
300,"LS","ER","N",13,120,1,100,140,93,6
300,"LS","ER","N",14,40,1,95.7142857142857,120,43,2
300,"LS","ER","N",15,140,1,98.6666666666667,40,130,9
300,"LS","ER","N",16,120,1,100,140,100,6
300,"LS","ER","N",17,80,1,98.8235294117647,120,69,4
300,"LS","ER","N",18,60,1,96.6666666666667,80,48,3
300,"LS","ER","N",19,20,1,92.6315789473684,60,19,1
300,"LS","ER","N",20,100,1,93,20,78,5
300,"LS","ER","N",21,120,1,94.2857142857143,100,92,7
300,"LS","ER","N",22,100,1,94.5454545454545,120,86,5
300,"LS","ER","N",23,120,2,95.6521739130435,100,126,6
300,"LS","ER","N",24,60,2,94.1666666666667,120,69,3
300,"LS","ER","N",25,80,2,93.6,60,81,3
300,"LS","ER","N",26,100,2,93.8461538461538,80,101,5
300,"LS","ER","N",27,120,2,94.8148148148148,100,140,6
300,"LS","ER","N",28,140,2,96.4285714285714,120,144,9
300,"LS","ER","N",29,140,2,97.9310344827586,140,144,9
300,"LS","ER","N",30,100,2,98,140,109,4
300,"LS","ER","N",31,40,2,98,100,49,2
300,"LS","ER","N",32,20,2,95.4838709677419,40,25,1
300,"LS","ER","N",33,120,2,94.5454545454545,20,115,6
300,"LS","ER","N",34,100,1,94.7058823529412,120,69,4
300,"LS","ER","N",35,140,1,96,100,111,9
300,"LS","ER","N",36,100,1,96.1111111111111,140,88,4
300,"LS","ER","N",37,40,1,94.5945945945946,100,38,2
300,"LS","ER","N",38,120,1,95.2631578947368,40,91,7
300,"LS","ER","N",39,60,1,94.3589743589744,120,52,3
300,"LS","ER","N",40,140,1,95.5,60,125,9
300,"LS","ER","N",41,120,1,96.0975609756098,140,104,8
300,"LS","ER","N",42,20,1,94.2857142857143,120,20,4
300,"LS","ER","N",43,120,1,94.8837209302326,20,112,5
300,"LS","ER","N",44,80,1,94.5454545454545,120,63,4
300,"LS","ER","N",45,40,2,93.3333333333333,80,56,2
300,"LS","ER","N",46,100,2,93.4782608695652,40,107,5
300,"LS","ER","N",47,20,2,91.9148936170213,100,25,1
300,"LS","ER","N",48,140,2,92.9166666666667,20,140,9
300,"LS","ER","N",49,140,2,93.8775510204082,140,147,9
300,"LS","ER","N",50,120,2,94.4,140,143,7
300,"LS","ER","N",51,120,2,94.9019607843137,120,127,7
300,"LS","ER","N",52,80,2,94.6153846153846,120,89,3
300,"LS","ER","N",53,100,2,94.7169811320755,80,97,5
300,"LS","ER","N",54,120,2,95.1851851851852,100,126,6
300,"LS","ER","N",55,60,2,94.5454545454545,120,62,3
300,"LS","ER","N",56,80,1,94.2857142857143,60,56,4
300,"LS","ER","N",57,120,1,94.7368421052632,80,94,7
300,"LS","ER","N",58,60,1,94.1379310344828,120,51,3
300,"LS","ER","N",59,100,1,94.2372881355932,60,74,5
300,"LS","ER","N",60,120,1,94.6666666666667,100,98,6
300,"LS","ER","N",61,20,1,93.4426229508197,120,20,1
300,"LS","ER","N",62,140,1,94.1935483870968,20,101,9
300,"LS","ER","N",63,120,1,94.6031746031746,140,107,7
300,"LS","ER","N",64,100,1,94.6875,120,71,5
300,"LS","ER","N",65,40,1,93.8461538461538,100,45,2
300,"LS","ER","N",66,140,1,94.5454545454545,40,154,8
308,"LS","ER","N",1,120,2,120,120,128,6
308,"LS","ER","N",2,20,2,70,120,20,2
308,"LS","ER","N",3,60,2,66.6666666666667,20,68,4
308,"LS","ER","N",4,80,2,70,60,80,5
308,"LS","ER","N",5,100,2,76,80,115,5
308,"LS","ER","N",6,100,2,80,100,101,6
308,"LS","ER","N",7,140,2,88.5714285714286,100,142,9
308,"LS","ER","N",8,120,2,92.5,140,130,8
308,"LS","ER","N",9,120,2,95.5555555555556,120,129,7
308,"LS","ER","N",10,40,2,90,120,36,3
308,"LS","ER","N",11,140,2,94.5454545454545,40,149,9
308,"LS","ER","N",12,100,1,95,140,92,6
308,"LS","ER","N",13,60,1,92.3076923076923,100,58,4
308,"LS","ER","N",14,80,1,91.4285714285714,60,72,5
308,"LS","ER","N",15,120,1,93.3333333333333,80,120,8
308,"LS","ER","N",16,140,1,96.25,120,148,9
308,"LS","ER","N",17,120,1,97.6470588235294,140,125,8
308,"LS","ER","N",18,100,1,97.7777777777778,120,106,6
308,"LS","ER","N",19,140,1,100,100,161,9
308,"LS","ER","N",20,120,1,101,140,121,8
308,"LS","ER","N",21,40,1,98.0952380952381,120,39,3
308,"LS","ER","N",22,20,1,94.5454545454545,40,24,2
308,"LS","ER","N",23,100,2,94.7826086956522,20,117,5
308,"LS","ER","N",24,140,2,96.6666666666667,100,147,9
308,"LS","ER","N",25,60,2,95.2,140,56,4
308,"LS","ER","N",26,120,2,96.1538461538462,60,123,7
308,"LS","ER","N",27,120,2,97.037037037037,120,130,8
308,"LS","ER","N",28,20,2,94.2857142857143,120,25,2
308,"LS","ER","N",29,140,2,95.8620689655172,20,153,8
308,"LS","ER","N",30,80,2,95.3333333333333,140,94,5
308,"LS","ER","N",31,120,2,95.3333333333333,80,123,7
308,"LS","ER","N",32,100,2,95.4838709677419,120,103,6
308,"LS","ER","N",33,40,2,94.5454545454545,100,44,3
308,"LS","ER","N",34,80,1,94.1176470588235,40,70,5
308,"LS","ER","N",35,100,1,94.2857142857143,80,108,7
308,"LS","ER","N",36,20,1,92.2222222222222,100,21,1
308,"LS","ER","N",37,40,1,90.8108108108108,20,37,3
308,"LS","ER","N",38,140,1,92.1052631578947,40,150,8
308,"LS","ER","N",39,60,1,91.2820512820513,140,53,4
308,"LS","ER","N",40,120,1,92,60,126,7
308,"LS","ER","N",41,120,1,92.6829268292683,120,131,8
308,"LS","ER","N",42,140,1,93.8095238095238,120,156,9
308,"LS","ER","N",43,100,1,93.953488372093,140,96,7
308,"LS","ER","N",44,120,1,94.5454545454545,100,120,8
308,"LS","ER","N",45,100,2,94.6666666666667,120,95,7
308,"LS","ER","N",46,100,2,94.7826086956522,100,117,7
308,"LS","ER","N",47,20,2,93.1914893617021,100,22,1
308,"LS","ER","N",48,140,2,94.1666666666667,20,143,9
308,"LS","ER","N",49,80,2,93.8775510204082,140,85,6
308,"LS","ER","N",50,120,2,94.4,80,129,8
308,"LS","ER","N",51,40,2,93.3333333333333,120,44,3
308,"LS","ER","N",52,120,2,93.8461538461538,40,111,7
308,"LS","ER","N",53,120,2,94.3396226415094,120,123,8
308,"LS","ER","N",54,60,2,93.7037037037037,120,58,4
308,"LS","ER","N",55,140,2,94.5454545454545,60,148,9
308,"LS","ER","N",56,80,1,94.2857142857143,140,72,6
308,"LS","ER","N",57,120,1,94.7368421052632,80,117,8
308,"LS","ER","N",58,140,1,95.5172413793103,120,150,8
308,"LS","ER","N",59,140,1,96.271186440678,140,144,7
308,"LS","ER","N",60,120,1,96.6666666666667,140,124,7
308,"LS","ER","N",61,60,1,96.0655737704918,120,64,4
308,"LS","ER","N",62,20,1,94.8387096774194,60,20,1
308,"LS","ER","N",63,100,1,94.9206349206349,20,91,6
308,"LS","ER","N",64,100,1,95,100,111,6
308,"LS","ER","N",65,120,1,95.3846153846154,100,123,7
308,"LS","ER","N",66,40,1,94.5454545454545,120,36,3
406,"LS","ER","N",1,140,2,140,140,145,6
406,"LS","ER","N",2,120,2,130,140,125,5
406,"LS","ER","N",3,100,2,120,120,120,4
406,"LS","ER","N",4,120,2,120,100,140,5
406,"LS","ER","N",5,120,2,120,120,135,5
406,"LS","ER","N",6,140,2,123.333333333333,120,147,7
406,"LS","ER","N",7,40,2,111.428571428571,140,69,2
406,"LS","ER","N",8,80,2,107.5,40,96,3
406,"LS","ER","N",9,100,2,106.666666666667,80,105,4
406,"LS","ER","N",10,20,2,98,100,35,1
406,"LS","ER","N",11,60,2,94.5454545454545,20,84,3
406,"LS","ER","N",12,120,1,96.6666666666667,60,112,7
406,"LS","ER","N",13,100,1,96.9230769230769,120,107,5
406,"LS","ER","N",14,120,1,98.5714285714286,100,132,6
406,"LS","ER","N",15,40,1,94.6666666666667,120,34,2
406,"LS","ER","N",16,140,1,97.5,40,108,8
406,"LS","ER","N",17,20,1,92.9411764705882,140,21,1
406,"LS","ER","N",18,60,1,91.1111111111111,20,49,3
406,"LS","ER","N",19,140,1,93.6842105263158,60,150,8
406,"LS","ER","N",20,80,1,93,140,77,4
406,"LS","ER","N",21,100,1,93.3333333333333,80,91,5
406,"LS","ER","N",22,120,1,94.5454545454545,100,120,6
406,"LS","ER","N",23,140,2,96.5217391304348,120,150,8
406,"LS","ER","N",24,100,2,96.6666666666667,140,118,4
406,"LS","ER","N",25,60,2,95.2,100,96,3
406,"LS","ER","N",26,140,2,96.9230769230769,60,150,7
406,"LS","ER","N",27,40,2,94.8148148148148,140,71,2
406,"LS","ER","N",28,100,2,95,40,114,4
406,"LS","ER","N",29,120,2,95.8620689655172,100,130,6
406,"LS","ER","N",30,80,2,95.3333333333333,120,117,3
406,"LS","ER","N",31,120,2,94.6666666666667,80,131,6
406,"LS","ER","N",32,120,2,95.4838709677419,120,120,6
406,"LS","ER","N",33,20,2,94.5454545454545,120,27,1
406,"LS","ER","N",34,20,1,92.3529411764706,20,25,1
406,"LS","ER","N",35,120,1,93.1428571428571,20,111,6
406,"LS","ER","N",36,140,1,94.4444444444444,120,141,8
406,"LS","ER","N",37,80,1,94.054054054054,140,61,4
406,"LS","ER","N",38,120,1,94.7368421052632,80,93,6
406,"LS","ER","N",39,40,1,93.3333333333333,120,33,2
406,"LS","ER","N",40,100,1,93.5,40,73,5
406,"LS","ER","N",41,100,1,93.6585365853659,100,82,5
406,"LS","ER","N",42,140,1,94.7619047619048,100,143,8
406,"LS","ER","N",43,60,1,93.953488372093,140,52,3
406,"LS","ER","N",44,120,1,94.5454545454545,60,111,3
406,"LS","ER","N",45,120,2,95.1111111111111,120,131,5
406,"LS","ER","N",46,20,2,93.4782608695652,120,40,1
406,"LS","ER","N",47,80,2,93.1914893617021,20,77,4
406,"LS","ER","N",48,100,2,93.3333333333333,80,107,5
406,"LS","ER","N",49,120,2,93.8775510204082,100,126,7
406,"LS","ER","N",50,40,2,92.8,120,49,2
406,"LS","ER","N",51,60,2,92.156862745098,40,66,3
406,"LS","ER","N",52,100,2,92.3076923076923,60,97,5
406,"LS","ER","N",53,140,2,93.2075471698113,100,149,7
406,"LS","ER","N",54,120,2,93.7037037037037,140,128,6
406,"LS","ER","N",55,140,2,94.5454545454545,120,148,8
406,"LS","ER","N",56,40,1,93.5714285714286,140,36,2
406,"LS","ER","N",57,20,1,92.280701754386,40,23,1
406,"LS","ER","N",58,100,1,92.4137931034483,20,81,4
406,"LS","ER","N",59,100,1,92.5423728813559,100,97,5
406,"LS","ER","N",60,60,1,92,100,46,3
406,"LS","ER","N",61,120,1,92.4590163934426,60,101,6
406,"LS","ER","N",62,140,1,93.2258064516129,120,127,8
406,"LS","ER","N",63,120,1,93.6507936507936,140,94,7
406,"LS","ER","N",64,80,1,93.4375,120,69,4
406,"LS","ER","N",65,140,1,94.1538461538462,80,148,9
406,"LS","ER","N",66,120,1,94.5454545454545,140,112,6
503,"LS","ER","N",1,140,2,140,140,144,3
503,"LS","ER","N",2,120,2,130,140,119,2
503,"LS","ER","N",3,80,2,113.333333333333,120,83,2
503,"LS","ER","N",4,140,2,120,80,137,5
503,"LS","ER","N",5,40,2,104,140,46,2
503,"LS","ER","N",6,100,2,103.333333333333,40,84,3
503,"LS","ER","N",7,60,2,97.1428571428571,100,64,3
503,"LS","ER","N",8,100,2,97.5,60,71,4
503,"LS","ER","N",9,120,2,100,100,108,5
503,"LS","ER","N",10,120,2,102,120,110,5
503,"LS","ER","N",11,20,2,94.5454545454545,120,20,1
503,"LS","ER","N",12,100,1,95,20,90,4
503,"LS","ER","N",13,120,1,96.9230769230769,100,128,5
503,"LS","ER","N",14,40,1,92.8571428571429,120,39,2
503,"LS","ER","N",15,80,1,92,40,72,3
503,"LS","ER","N",16,140,1,95,80,124,6
503,"LS","ER","N",17,100,1,95.2941176470588,140,89,5
503,"LS","ER","N",18,120,1,96.6666666666667,100,103,6
503,"LS","ER","N",19,20,1,92.6315789473684,120,27,1
503,"LS","ER","N",20,120,1,94,20,71,4
503,"LS","ER","N",21,60,1,92.3809523809524,120,67,2
503,"LS","ER","N",22,140,1,94.5454545454545,60,103,5
503,"LS","ER","N",23,140,2,96.5217391304348,140,148,6
503,"LS","ER","N",24,100,2,96.6666666666667,140,123,4
503,"LS","ER","N",25,60,2,95.2,100,82,3
503,"LS","ER","N",26,100,2,95.3846153846154,60,90,3
503,"LS","ER","N",27,80,2,94.8148148148148,100,80,3
503,"LS","ER","N",28,140,2,96.4285714285714,80,146,5
503,"LS","ER","N",29,40,2,94.4827586206897,140,33,3
503,"LS","ER","N",30,120,2,95.3333333333333,40,118,4
503,"LS","ER","N",31,120,2,94.6666666666667,120,118,5
503,"LS","ER","N",32,20,2,92.258064516129,120,22,1
503,"LS","ER","N",33,120,2,94.5454545454545,20,108,3
503,"LS","ER","N",34,120,1,95.2941176470588,120,118,4
503,"LS","ER","N",35,100,1,95.4285714285714,120,101,3
503,"LS","ER","N",36,40,1,93.8888888888889,100,50,2
503,"LS","ER","N",37,20,1,91.8918918918919,40,24,1
503,"LS","ER","N",38,120,1,92.6315789473684,20,64,4
503,"LS","ER","N",39,120,1,93.3333333333333,120,88,5
503,"LS","ER","N",40,140,1,94.5,120,145,6
503,"LS","ER","N",41,140,1,95.609756097561,140,144,7
503,"LS","ER","N",42,100,1,95.7142857142857,140,91,4
503,"LS","ER","N",43,60,1,94.8837209302326,100,66,4
503,"LS","ER","N",44,80,1,94.5454545454545,60,81,3
503,"LS","ER","N",45,120,2,95.1111111111111,80,128,5
503,"LS","ER","N",46,100,2,95.2173913043478,120,120,4
503,"LS","ER","N",47,80,2,94.8936170212766,100,93,3
503,"LS","ER","N",48,60,2,94.1666666666667,80,78,3
503,"LS","ER","N",49,120,2,94.6938775510204,60,102,4
503,"LS","ER","N",50,140,2,95.6,120,128,5
503,"LS","ER","N",51,20,2,94.1176470588235,140,23,1
503,"LS","ER","N",52,140,2,95,20,125,5
503,"LS","ER","N",53,100,2,95.0943396226415,140,99,4
503,"LS","ER","N",54,40,2,94.0740740740741,100,45,2
503,"LS","ER","N",55,120,2,94.5454545454545,40,116,4
503,"LS","ER","N",56,60,1,93.9285714285714,120,52,3
503,"LS","ER","N",57,140,1,94.7368421052632,60,124,4
503,"LS","ER","N",58,80,1,94.4827586206897,140,99,3
503,"LS","ER","N",59,20,1,93.2203389830509,80,26,1
503,"LS","ER","N",60,100,1,93.3333333333333,20,70,4
503,"LS","ER","N",61,120,1,93.7704918032787,100,57,4
503,"LS","ER","N",62,120,1,94.1935483870968,120,91,5
503,"LS","ER","N",63,120,1,94.6031746031746,120,115,5
503,"LS","ER","N",64,40,1,93.75,120,45,3
503,"LS","ER","N",65,100,1,93.8461538461538,40,79,4
503,"LS","ER","N",66,140,1,94.5454545454545,100,119,5
103,"LS","ER","P",1,40,2,40,40,69,3
103,"LS","ER","P",2,20,2,30,40,23,2
103,"LS","ER","P",3,140,2,66.6666666666667,20,131,8
103,"LS","ER","P",4,60,2,65,140,82,5
103,"LS","ER","P",5,80,2,68,60,87,6
103,"LS","ER","P",6,120,2,76.6666666666667,80,114,7
103,"LS","ER","P",7,60,2,74.2857142857143,120,82,4
103,"LS","ER","P",8,40,2,70,60,48,3
